42499 111783
47 51 576.8173645220686
47 45 856.1253969560908
47 49 794.540580482495
48 34108 146.37900261773527
48 33808 62.49917391723123
48 34564 33.964344830415854
49 230 83.28456625531129
49 1092 6.5782321515791535
49 47 794.540580482495
50 34419 18.88752246846435
50 34205 251.6279156800921
50 34352 157.42442843935027
51 30535 234.7238855827223
51 47 576.8173645220686
51 30863 175.17095506384908
51 29801 356.1986764929348
52 34207 334.47472153943
52 34107 402.8507912269698
52 53 365.0116930078982
52 34480 235.51414324934717
53 34421 66.47842582907406
53 52 365.01169300789815
53 29066 322.2052864801862
54 29849 99.63193830237104
54 30535 502.8013191410712
54 27355 562.4442849246801
54 55 244.66187581968927
55 29848 34.25101449574872
55 29700 177.69783883989385
55 54 244.66187581968927
55 30535 451.94649063197585
56 57 14.112201439037191
56 797 46.71638700916531
56 30196 439.54085230761325
57 801 9.387718454068397
57 56 14.112201439037191
57 29696 183.42437738985046
58 809 54.288058557882394
58 801 25.92062248875333
58 29283 56.648738046398755
59 28418 21.656897971692736
59 28597 60.99663655980308
59 28533 78.31845183411627
60 28596 42.553227390366274
60 28423 25.424607386541965
60 28173 61.775521783682684
61 247 10.460055536584454
61 28349 557.7712160465672
61 29063 748.8251344691238
62 28815 18.582531304705643
63 254 10.797695548574472
63 28811 44.642252833379764
63 65 70.75727043879651
64 28871 178.98666966611904
64 27696 125.58681340884505
64 260 96.06677632897376
65 257 109.5438721175365
65 63 70.7572704387965
65 259 63.91603895674794
66 33073 691.5391255600455
66 27571 244.8913551234862
66 457 1506.6231291735692
67 32791 88.39323086698163
67 28819 588.3459012760362
67 32374 474.450469838429
68 197 821.3945755584665
68 247 2308.2592700951914
68 453 1671.0341270556287
68 204 437.6808786549428
69 12939 73.21035623004808
69 35110 797.980468638097
69 6 679.6067789770369
70 461 91.24718409227924
70 71 36.013456399594475
70 33600 175.03010454954864
71 33666 34.14666473298678
71 70 36.013456399594475
71 41695 554.1846072997273
72 32205 199.81559124480964
72 24817 132.690307330569
72 31487 210.63565309253116
72 31135 201.90554918327547
73 40197 39.98885908356916
73 903 20.640281323348233
74 915 70.2343117158899
74 907 19.912143307034246
74 30358 26.990982748523997
74 918 145.05746936692654
75 30339 4.503138191289242
75 926 266.8254019136162
76 915 54.669608341159304
76 922 62.77138737448735
77 34995 1.7265401707047703
77 10511 128.80502683464138
77 34996 634.1172800241695
78 10521 136.28840282360719
78 17791 99.30099437684586
78 10536 277.38862124126354
79 10524 35.38004879532385
79 21572 14.246404757408664
79 80 50.76333822717643
80 21574 23.483052645627918
80 79 50.76333822717643
80 34884 39.21210320165132
81 21619 10.588293189715865
81 21617 44.14234571950898
81 10542 105.57671723259965
82 32683 237.96583050422933
82 40188 624.2632559909149
82 10560 191.7227124474265
83 30723 3.390782122387947
83 782 252.85778060285273
84 786 76.49040341936195
84 779 86.94460700179674
84 85 55.01049362901277
85 86 44.33840862323869
85 84 55.01049362901277
86 88 7.217219683436519
86 28754 692.3739954076977
86 85 44.33840862323869
87 31824 8.21167593420193
87 166 58.09988673261286
87 963 89.37388193398233
87 21604 194.32075587901966
88 86 7.217219683436519
88 788 97.8510091998927
88 89 359.85427502449085
89 796 5.968438956475926
89 31098 374.09543366651025
89 88 359.85427502449085
90 31822 27.022280570252068
90 31823 220.08600592974614
90 10572 84.05609054355416
91 740 6.382670705008801
91 28577 241.00929006582913
91 29278 35.721135859834405
92 93 51.120816822912744
92 35909 67.32724241847221
92 21684 42.069501732923186
93 21688 15.009325931677605
93 92 51.120816822912744
93 21687 10.613456574043372
94 35917 497.55482488635505
94 95 16.448442238203867
94 35908 85.28917957132586
95 984 10.027405980079457
95 94 16.448442238203867
95 35933 125.2245697201126
96 753 13.78972621180559
96 27916 159.52313401345472
96 97 62.49023889679511
97 756 29.91762723117199
97 28446 283.8173656276369
97 96 62.49023889679511
98 996 12.47994600730777
98 993 28.387772660170047
98 998 50.41138485645308
99 19999 17.65017034725058
99 18595 52.13330078617461
99 17113 284.1198995186173
100 18833 57.41864336709797
101 597 32.919356861237986
101 28383 42.59221489310144
101 28384 83.43616732749818
102 28181 6.15594928776386
102 598 32.309234741198416
102 28179 93.05959181355273
103 599 40.978056520412
103 601 31.573040049062413
103 27947 91.10297363434553
104 36022 58.372277465019536
104 27819 74.81783228916196
104 27427 41.93164826241134
105 28482 687.3788773745131
105 109 905.3287780367635
105 28124 1297.9045646860109
106 16793 287.5117952326884
106 108 245.90208970450368
106 18840 125.26550072603156
107 32762 48.48922530277063
107 15788 155.3010794990183
107 32759 143.42162531899692
108 106 245.90208970450368
108 15484 68.62375274161246
108 39242 39.36323746886946
109 105 905.3287780367638
109 34668 1063.587213786261
109 603 1064.4781737534463
110 26577 1380.276677917464
110 26813 352.8974218308347
111 32172 292.95158419992174
111 30567 809.0080119113923
111 30530 505.5871791759192
112 26244 25.429853930763922
112 26275 140.3968625683101
112 26282 66.38460531165003
113 25514 14.209431647670298
113 25771 131.60789467237075
113 25751 99.47015488719049
114 26284 67.3670294107837
114 116 197.1450884911372
114 26277 51.79903990975044
115 25807 43.744075825257234
115 25720 74.11832594578959
115 25802 86.84870582175532
116 26481 52.217924362255594
116 26325 100.19774531619063
116 26789 205.77984582058602
116 114 197.14508849113722
117 26304 151.2507594379967
117 26437 405.7688537214507
117 26385 36.38866620260952
118 26385 17.194867144607663
118 119 30.55284143452977
118 26506 105.10483153390658
119 118 30.55284143452977
119 120 22.49048615769424
119 26507 67.21265692805508
120 119 22.49048615769424
120 121 67.36514914068151
120 26505 83.79885837148908
121 26518 127.85152628363805
121 120 67.3651491406815
121 26504 150.75853260356513
121 26489 82.30296853719831
122 26476 128.616732804163
122 26479 36.51190462973697
122 26954 1126.7760288004235
123 26327 70.23161057688556
123 26326 76.40942034094287
123 26501 133.57280925813455
124 125 339.0720863649499
124 26792 255.94248528812292
124 26879 150.4183389668877
125 26655 130.6631184283092
125 124 339.0720863649499
125 26841 40.44048487471502
126 26985 127.74925030114487
126 26891 16.324347478117996
126 26918 30.080220122649045
126 26981 187.59216522139425
127 21705 39.05304275779671
127 12827 151.2386964238187
127 12814 76.86183307345068
127 21707 107.93732095865985
128 129 31.132736937662195
128 146 179.26562219739344
128 16808 156.79084895167333
129 128 31.132736937662195
129 147 73.90417456390527
129 12828 164.7222259600284
130 21898 418.7660435135114
130 34472 221.64106011544666
130 16805 442.26282757782536
131 12560 50.61573852000552
131 21751 66.8400981893261
131 30015 903.6348843923029
132 133 12.599783026714102
132 21752 55.270864507910936
132 30015 1224.9793598761441
133 132 12.599783026714102
133 16823 140.10892698052174
133 28945 106.19831645940462
133 29509 187.04423895275386
134 21595 4.453551861624144
134 21601 55.94812554721487
134 21591 89.68370196780148
135 21603 160.02961313042772
135 136 127.95648234663173
135 31671 672.4620523509909
136 135 127.95648234663173
136 21607 411.1663156639035
136 31821 37.08495747087086
137 36033 234.4607189316041
137 36043 165.2814562177055
137 32545 299.52304515248187
138 21685 17.31309862574836
138 246 39.636256087385384
138 967 103.75624481069252
139 36065 8.641909442250013
139 35908 35.715130005318926
139 140 47.16558943357817
140 35902 3.427491087847874
140 35901 40.396056418835755
140 139 47.16558943357817
141 22762 28.87420247518972
141 33418 207.28161384132616
141 235 116.82394866755294
142 33375 177.0891911277623
142 33272 80.65047929615996
142 24901 420.00467383685174
143 33272 43.98460866699679
143 24873 443.3902392389907
143 33281 43.10100305221294
144 24868 72.2249572460121
144 24928 41.133226880157444
144 24930 152.33754250311017
145 22757 20.164084664900557
145 24890 115.04008021164918
145 24868 9.397648489509566
146 40209 77.52439605362117
146 128 179.2656221973934
146 35777 164.40312663360854
146 12828 88.60084232047798
147 35927 6.186468384658232
147 129 73.90417456390527
147 12829 190.9503081313444
148 35927 16.308070559973515
148 21898 148.7115655868657
148 35815 731.4245676555688
149 21651 44.09590382815768
149 21649 12.084072646580145
149 34389 150.4214330900156
150 21662 4.405774815628919
150 152 83.23399973767874
150 42448 109.6521132143767
151 924 75.128798684039
151 926 36.8382833342869
151 30430 73.34489787477445
152 34553 3.036758702163316
152 150 83.23399973767876
152 24302 259.40608347843727
153 30430 6.530256556690066
153 30336 26.99117386214581
153 30338 332.9663956814728
154 12807 8.958559421425457
154 12808 33.79654133119401
154 21709 64.0696310671559
155 244 27.43513632899235
155 156 137.86086700963466
155 17061 182.3723039555287
156 155 137.86086700963466
156 17066 61.873681558527934
156 34535 248.86298030906647
157 159 526.1229805447538
158 10566 23.369533661483043
158 10565 10.06688592467476
158 21589 104.02076235653772
159 160 173.14634339199932
159 928 64.79943496519532
159 157 526.1229805447539
159 931 55.48492903478737
160 159 173.14634339199932
160 937 127.0448488864218
160 31492 36.526599838495265
161 21590 54.65523083275173
161 162 19.42595290669643
161 930 60.32972721435266
162 161 19.42595290669643
162 935 11.7445391614077
162 934 58.563759755829835
163 42332 3.815066541169295
163 950 107.97385212664577
163 944 35.90664526912262
164 34584 293.17349283255726
164 34594 10.021767481562943
164 34749 164.61568450576584
165 12936 155.06848009166882
165 34749 9.686792126348205
165 12935 39.38727652535713
166 87 58.09988673261286
166 958 86.01561200327261
166 956 104.11990238984181
167 21726 46.00364904046398
167 169 73.27932403367264
167 21730 95.38648414811121
168 21725 81.96084987046115
168 17356 8.41644578162224
168 34834 540.8053629394178
169 21729 56.62801608555104
169 21727 46.629627864865014
169 167 73.27932403367264
170 34274 194.94180043308486
170 33815 90.34124368878595
170 36717 112.72163352815528
170 24260 68.37949639362989
171 24266 192.70880128303534
171 172 272.0647514015358
171 17094 288.18689452704456
172 171 272.0647514015358
172 33821 99.1470562279855
172 33822 23.028420010438357
173 174 59.68313104934437
173 17304 46.32016904039704
173 24270 111.10184842200532
174 175 224.71270538276
174 173 59.68313104934437
174 34058 45.70274234445256
175 34056 6.925877388427891
175 174 224.71270538276002
175 23224 66.30157139482745
176 1041 16.191644398995006
176 31097 1108.9385380375531
176 1039 28.32573319247848
176 30645 121.88152403009691
177 178 399.85153160210837
177 30373 915.5048621734295
177 27514 1456.2647145529436
178 9696 581.0217589140384
178 177 399.85153160210837
178 32277 190.28839873378325
178 32180 1199.720441451159
179 32312 9.598628210766886
179 33319 246.7929558064247
179 33320 34.03884440292717
179 17533 229.73140537241866
180 32456 23.029391141491086
180 32312 71.55161589268977
180 32455 79.06934832382109
181 15580 20.170973631171584
181 15591 30.904077906893306
181 32457 59.15109898119799
182 29792 79.68634062312836
182 29796 243.83259951765098
182 25317 267.42875665270014
183 35982 23.1797337662605
183 14902 452.516567755644
183 35983 58.71510960076187
184 185 16.447045593369992
184 17579 294.50581404504095
184 20068 429.30117914281936
184 38130 37.12628048337143
185 184 16.447045593369992
185 17588 109.57613042111211
185 18873 227.8557350020199
186 812 74.97333538798567
186 29917 44.82054316710972
186 831 20.265930941729707
187 35291 81.82854638510734
187 20060 84.69606126582563
187 38800 339.4429586510141
188 29830 49.702052369908834
188 889 84.98519924608314
188 29570 49.975323804855364
189 628 102.2695005510588
189 34901 80.8311115713224
189 623 39.00906790301614
190 29730 267.08051419534996
190 29729 48.21700854941307
190 193 139.16973996475738
191 29730 162.7451725634491
191 200 1137.0607697523233
191 192 476.32535556404343
191 29731 173.10120373724172
192 24952 8.018933974238234
192 191 476.32535556404343
192 902 327.762242320836
193 24935 1137.2618936546733
193 29730 204.44231077375454
193 29728 244.58582173892052
193 190 139.16973996475738
194 27358 122.96257154758779
194 29968 251.8158026403664
194 455 275.15675049647535
195 17242 21.297544768260128
195 17245 33.10141902862534
195 17221 144.24039821407163
195 16567 33.84362291362811
196 35332 4.561238407725571
196 18429 1097.6838751548999
196 17955 38.18732798654378
197 27264 1036.6760645021002
197 68 821.3945755584665
197 454 626.5574042118822
197 198 216.82465424822712
198 33678 31.872416128734358
198 41696 109.77461817855956
198 197 216.82465424822712
198 27366 243.7933406104621
199 200 17.853657046109618
199 202 20.449980191792353
199 24952 1110.5922813820148
200 199 17.853657046109618
200 201 13.945867948412696
200 191 1137.060769752323
201 200 13.945867948412696
201 202 21.42858097274412
201 205 584.6399425699058
202 199 20.449980191792353
202 201 21.42858097274412
202 24941 384.35764925155956
203 33613 280.83064546328364
203 33678 102.02906423579552
203 24933 613.4313677848705
204 68 437.6808786549428
204 33600 118.60203236379385
204 457 44.100329376423964
205 22796 7.815866822755614
205 24946 836.785048098211
205 201 584.6399425699057
206 33661 62.08044449238819
206 33613 118.93384670425701
206 456 1019.7227586403337
207 22796 2646.184850880634
207 1 103.71180360578381
207 208 365.83759047160305
208 24912 339.1027372764913
208 24 535.1018126003462
208 207 365.83759047160305
208 24850 1262.9053455183378
209 33550 117.31436110241523
209 27 21.745903191004913
209 467 141.17859451047516
210 212 54.31669023078671
210 24927 532.6750219226899
210 211 157.6951910682188
211 24930 55.44815544239526
211 24936 143.8941274445879
211 24866 145.78542432550924
211 210 157.69519106821878
212 210 54.31669023078671
212 24922 35.05302233709907
212 24882 202.04550220633897
213 24852 11.386292032848385
213 24843 73.46776762851927
213 24844 89.59653512984198
214 24849 106.28622480249099
215 790 80.61119115921433
215 31143 718.6742774249494
215 782 19.547159872458877
216 736 128.08696224385756
216 218 57.12570627891167
216 737 18.245763366103038
217 737 25.272070430276113
217 738 17.047878374988183
217 742 150.78729091431333
218 740 33.30611611673121
218 29374 29.43769125418256
218 216 57.12570627891167
219 221 14.59851151957597
219 223 829.0528973194039
219 746 62.95837132957151
220 750 2.53235543933946
220 749 9.137967392897062
220 221 73.5007400102934
221 219 14.59851151957597
221 220 73.50074001029338
221 28799 59.34801657255744
222 28715 91.82357755347235
222 28338 948.6955404042452
222 28731 230.0700420265876
223 219 829.0528973194038
223 602 1740.6135543266557
223 566 23.581875157877185
224 32977 93.57310416361942
224 33338 270.51857542848904
224 1076 721.5990560129934
225 226 21.25381271674438
225 33354 90.9040597780628
225 33552 265.16825353198544
226 33336 24.290296419755194
226 225 21.25381271674438
226 33339 140.12017815746032
227 228 122.54190754398334
227 33339 746.2899472487494
227 33366 852.7112375293603
227 33549 142.75444216379688
228 229 9.073518831767947
228 227 122.54190754398334
228 1097 64.23516101518325
229 1100 39.31706777563207
229 1109 81.06014970403456
229 228 9.073518831767947
230 49 83.28456625531129
230 1108 97.79513114742606
230 30754 147.51829138399214
231 30752 10.462041531843298
231 1116 39.019014394374565
231 1113 119.43761864058632
232 33354 1512.519673323184
232 33334 323.8979382535949
232 1114 1392.2480461040323
233 33544 78.32448654899761
233 33334 46.728879462654646
233 234 176.19276735402653
234 233 176.19276735402659
234 1 4200.425395993901
234 733 245.39320873871952
235 22763 15.387952947733558
235 33419 153.03879775753722
235 141 116.82394866755294
236 797 8.030944022556104
236 29821 218.69077137108104
236 29388 122.69001409664781
237 29929 185.21662320340934
237 26843 144.37625791319246
237 26844 153.4509323173848
238 26840 35.78175651532431
238 26853 110.21460097579114
238 26849 53.571998053465876
239 17359 212.35309277953814
239 17076 128.47997698078882
239 21903 385.8814120743816
240 21775 6.514386234701031
240 21779 22.933154522571733
240 21778 57.28275076313093
240 21794 93.97650244623216
241 21778 44.64677118946524
241 21782 37.26411888419574
241 17085 15.57950208408217
242 21784 354.6687583312772
242 21798 321.5882843801516
242 21797 555.2912989979975
243 21851 80.44117293536331
243 21870 18.999663259347532
243 21869 49.36554870987831
244 155 27.43513632899235
244 33422 32.719198926582365
244 17065 196.59706706266402
245 42157 223.43429026444005
245 36027 46.37614551515358
245 36051 114.7582943756984
246 36045 70.51209483505637
246 138 39.636256087385384
246 36046 74.405291027763
247 61 10.460055536584454
247 68 2308.2592700951914
247 28174 29.70967463108646
248 30093 89.71109439086769
248 29920 8.181216556808105
248 29493 378.88981712589754
249 27264 557.6412131196173
250 27539 3.8681111536589374
250 27528 329.605106004885
250 28951 255.67087919244125
251 252 38.02644207315351
251 28812 43.06908270420785
251 254 62.58406244971771
252 28815 24.326871220322634
252 251 38.02644207315351
252 253 71.60370498708073
253 252 71.60370498708072
254 255 25.478395715433063
254 251 62.58406244971773
254 63 10.79769554857447
255 254 25.478395715433063
256 260 99.79844183544353
256 257 31.21703133045887
256 28737 46.71054226906316
257 65 109.5438721175365
257 261 139.36443637754712
257 256 31.217031330458866
258 259 57.151671153929776
259 258 57.151671153929776
259 65 63.91603895674794
259 27265 157.79596412061028
260 261 100.88069950979386
260 64 96.06677632897377
260 256 99.79844183544354
261 27265 126.21492232102025
261 260 100.88069950979386
261 257 139.36443637754712
262 39758 113.19897397741617
262 3960 112.52386483077484
262 22274 54.66613281787881
263 42406 10.838510944277763
263 24864 2711.7106149903766
264 36594 99.67778201720094
264 9054 134.591424010586
264 36593 83.87351079883672
265 40417 21.336921642384283
265 267 26.922149974766075
265 37386 34.6142767195153
266 40417 121.93657617505748
266 8195 11.621601275666464
266 268 30.08668240943262
267 268 145.1926972779096
267 269 35.63802970410511
267 265 26.922149974766075
268 267 145.1926972779096
268 270 35.18671506004009
268 266 30.08668240943262
269 270 146.79845707986695
269 271 23.87764312391987
269 267 35.63802970410511
270 269 146.79845707986695
270 272 23.518053212362904
270 268 35.18671506004009
271 274 26.486670749970646
271 269 23.87764312391987
271 273 69.34869383291641
272 270 23.518053212362904
272 273 77.78451468609614
272 8196 76.84770563048299
273 275 24.935534401004738
273 272 77.78451468609614
273 271 69.34869383291641
274 275 68.80434008432968
274 278 36.61967870981617
274 271 26.486670749970646
275 274 68.80434008432968
275 273 24.935534401004738
275 279 34.144566040533576
276 9510 22.812768173423738
276 277 26.551814465063252
276 37489 43.85304290767945
277 276 26.551814465063252
277 11849 42.2546799387107
277 280 174.45058144804753
278 37488 40.75668032878111
278 274 36.61967870981617
278 279 67.63292031940969
279 280 16.426854032092834
279 275 34.144566040533576
279 278 67.63292031940969
280 279 16.426854032092834
280 11671 18.402809758832447
280 277 174.4505814480475
281 287 46.17938458919131
281 11671 24.463865161938152
281 37488 84.38728529771998
281 283 78.42367024004812
282 9526 19.078624918765176
282 19468 13.077388268266816
282 284 75.04544084279478
283 11850 14.770138243939058
283 288 45.841805172078416
283 281 78.42367024004812
283 284 78.68479757065894
284 11849 14.656455629867086
284 285 45.51196851818888
284 283 78.68479757065894
284 282 75.04544084279478
285 288 78.49748782250121
285 284 45.51196851818888
285 290 31.594777932699426
285 37459 113.71534785047376
286 289 31.546483629554007
286 287 84.18195618324198
286 37488 46.32319650259657
287 294 32.47076976414671
287 281 46.17938458919131
287 286 84.18195618324198
287 288 77.68685481883121
288 283 45.841805172078416
288 291 31.69146859037752
288 287 77.68685481883121
288 285 78.49748782250121
289 296 30.93482033514339
289 286 31.546483629554007
289 295 77.83421373461638
290 285 31.594777932699426
290 40354 3.94218530679446
290 291 79.25615394275508
291 288 31.69146859037752
291 292 13.169531171152718
291 290 79.25615394275508
292 299 32.694582907743765
292 291 13.169531171152718
292 293 48.564496425125995
293 294 15.391727633047198
293 292 48.564496425125995
293 37487 55.24703203306848
294 287 32.47076976414671
294 295 6.857753918167073
294 293 15.391727633047198
295 297 30.27328343240797
295 289 77.83421373461638
295 294 6.857753918167073
296 297 78.99598127823722
296 289 30.93482033514339
296 303 36.472034844916145
297 296 78.99598127823722
297 295 30.27328343240797
297 304 36.42750993825611
298 299 93.30088226764119
298 40354 29.256598763285222
298 301 31.42484074289589
298 40353 167.09783591964438
299 298 93.30088226764119
299 292 32.694582907743765
299 307 54.25439109627645
300 11856 29.35481385307801
300 306 30.987018793536617
300 301 191.1816063836872
301 302 65.74995438821612
301 298 31.42484074289589
301 305 21.944026249053184
301 300 191.1816063836872
302 301 65.74995438821612
303 304 79.90561330883364
303 308 19.915279769170894
303 296 36.472034844916145
304 303 79.90561330883364
304 297 36.42750993825611
304 309 19.993567734956482
305 307 94.10030624763192
305 301 21.944026249053184
305 312 27.112185429118945
305 306 211.87622362769685
306 11857 7.808962550256909
306 300 30.987018793536617
306 305 211.87622362769685
307 309 69.62425296078922
307 305 94.10030624763192
307 310 22.2501362531967
307 299 54.25439109627645
308 303 19.915279769170894
308 309 80.16950883120562
308 311 101.70357906992102
309 308 80.16950883120562
309 307 69.62425296078922
309 304 19.993567734956482
310 311 70.18165731050263
310 307 22.2501362531967
310 321 29.622252216610594
311 310 70.18165731050263
311 322 27.554315406844385
311 308 101.70357906992102
312 305 27.112185429118945
312 314 24.275022207036514
312 11684 72.62171514936156
312 15 235.625693970371
313 609 47.094860796103546
313 15 27.36406840092226
313 320 95.06235513835638
314 312 24.275022207036514
314 317 16.07314620479843
314 315 11.906280129126367
315 339 112.729390099787
315 314 11.906280129126367
315 329 24.08777756799082
316 337 113.39924821591698
316 329 27.089694212682215
316 318 31.982405032734775
317 314 16.07314620479843
317 328 27.260080034360325
317 321 79.8020043574441
318 336 114.15347823875913
318 316 31.982405032734775
318 319 32.14604293641287
319 37463 83.80921963504974
319 318 32.14604293641287
319 320 30.83132197306426
320 37462 83.99260722733045
320 319 30.83132197306426
320 313 95.06235513835638
321 324 24.01852856458122
321 310 29.622252216610594
321 322 68.90925640057367
321 317 79.8020043574441
322 325 23.929829900448045
322 311 27.554315406844385
322 321 68.90925640057367
323 327 7.807880752741171
324 325 68.87004306333073
324 321 24.01852856458122
324 343 84.7214342694292
325 324 68.87004306333073
325 322 23.929829900448045
325 37451 324.88104118674823
326 342 81.27042068541677
326 327 24.60666153664353
326 328 26.894482289106357
327 323 7.807880752741171
327 341 81.99977377734423
327 326 24.60666153664353
328 326 26.894482289106357
328 317 27.260080034360325
328 340 85.77617711692878
329 338 114.62033553952331
329 315 24.08777756799082
329 316 27.089694212682215
330 346 75.46373396243077
331 345 64.37261871967189
332 16 26.574325308198834
332 334 38.980150171514346
332 333 92.62701545347147
332 333 143.8606938562686
333 332 92.62701545347147
333 332 143.86069385626857
333 11196 96.22540523237303
334 332 38.980150171514346
334 9588 28.001551341691794
334 11196 49.983388651915114
335 37463 30.601112208472113
335 11197 15.899551785800035
335 11199 33.20403419753655
336 318 114.15347823875913
336 337 31.59954466229974
336 11197 16.506059851290747
337 316 113.39924821591698
337 338 22.826022040971484
337 336 31.59954466229974
338 11200 22.90064917257863
338 329 114.62033553952331
338 337 22.826022040971484
338 339 24.412841623808347
339 315 112.729390099787
339 340 31.210670647533814
339 338 24.412841623808347
340 10605 124.26154728866335
340 37495 24.651388544375713
340 339 31.210670647533814
340 328 85.77617711692878
341 327 81.99977377734423
341 12 12.247833195559656
341 342 24.95763791483311
342 326 81.27042068541677
342 341 24.95763791483311
342 37495 4.363095619532475
343 324 84.7214342694292
343 344 14.578721550358905
343 12 15.878562409382464
344 345 11.074352904273308
344 343 14.578721550358905
344 40357 58.26880861698237
345 331 64.37261871967189
345 346 8.334891989474807
345 344 11.074352904273308
346 345 8.334891989474807
346 37461 58.36059961161517
346 330 75.46373396243077
347 348 62.33067565392471
347 11691 41.13544722104238
347 353 148.68132054242386
348 347 62.33067565392471
348 10603 28.89247716924281
348 11703 60.39512217326142
349 9692 50.225452139691804
349 11203 24.211535751115424
349 350 24.9471362855987
349 19472 23.166985314274196
350 10607 50.07383045399763
350 351 15.409910304912387
350 349 24.9471362855987
351 350 15.409910304912387
352 11712 28.345287176232567
352 11709 43.54126086555367
352 11707 11.592541001020118
353 37743 19.98884076216831
353 11707 55.49267915769555
353 347 148.6813205424238
354 10607 19.57141292878199
355 22236 47.565890474166935
356 22236 43.18648750427603
356 11712 22.10721883610543
356 11715 23.91066866338746
357 11710 111.77420397703736
357 358 31.629697321411008
357 23580 31.19973328309355
357 10 36.22422980852774
358 357 31.629697321411008
358 363 30.11696470012202
358 361 67.5488986722442
358 359 54.95533509592369
359 358 54.95533509592369
359 362 29.939383475128306
359 37451 32.60254421359038
360 361 30.906561862986223
361 358 67.5488986722442
361 364 31.77207919480419
361 360 30.906561862986223
362 366 26.46489276407644
362 363 56.99727059229321
362 359 29.939383475128306
363 358 30.11696470012202
363 367 29.296022230164883
363 362 56.99727059229321
363 364 64.85871372677785
364 363 64.85871372677785
364 361 31.77207919480419
364 37450 101.48650897287848
364 365 29.005210885376385
365 368 31.23657547442283
365 367 64.32576776606743
365 364 29.005210885376385
366 369 33.93004259545
366 362 26.46489276407644
366 367 57.90799343982557
367 363 29.296022230164883
367 371 32.57708375656794
367 366 57.90799343982557
367 365 64.32576776606743
368 370 34.934246989526564
368 371 64.69149743034708
368 365 31.23657547442283
368 372 22.158870108359654
369 375 28.833841033387248
369 366 33.93004259545
369 371 56.6044323640646
370 368 34.934246989526564
370 372 39.002352127993014
370 37450 33.53123569326449
371 367 32.57708375656794
371 374 28.933622258893614
371 368 64.69149743034708
371 369 56.6044323640646
372 370 39.002352127993014
372 373 15.979846123553825
372 368 22.158870108359654
372 37412 28.86274886507077
373 374 52.93890921569889
